"Time","Goodput","Average Delay","# of consumers"
2022-11-14 17:52:07,74.527 Gb/s,0.711 ms,
2022-11-14 17:52:08,71.062 Gb/s,0.788 ms,
2022-11-14 17:52:09,69.571 Gb/s,0.793 ms,
2022-11-14 17:52:10,70.498 Gb/s,0.697 ms,16
2022-11-14 17:52:11,73.568 Gb/s,0.765 ms,
2022-11-14 17:52:12,77.302 Gb/s,0.740 ms,
2022-11-14 17:52:13,72.165 Gb/s,0.751 ms,
2022-11-14 17:52:14,75.832 Gb/s,0.737 ms,
2022-11-14 17:52:15,70.538 Gb/s,0.810 ms,
2022-11-14 17:52:16,68.994 Gb/s,0.789 ms,
2022-11-14 17:52:17,77.829 Gb/s,0.802 ms,
2022-11-14 17:52:18,69.508 Gb/s,0.821 ms,
2022-11-14 17:52:19,73.519 Gb/s,0.805 ms,
2022-11-14 17:52:20,66.557 Gb/s,0.777 ms,16
2022-11-14 17:52:21,76.060 Gb/s,0.755 ms,
2022-11-14 17:52:22,76.088 Gb/s,0.784 ms,
2022-11-14 17:52:23,68.643 Gb/s,0.725 ms,
2022-11-14 17:52:24,78.393 Gb/s,0.722 ms,
2022-11-14 17:52:25,69.818 Gb/s,0.803 ms,
2022-11-14 17:52:26,73.120 Gb/s,0.808 ms,
2022-11-14 17:52:27,72.672 Gb/s,0.809 ms,
2022-11-14 17:52:28,73.327 Gb/s,0.798 ms,
2022-11-14 17:52:29,72.472 Gb/s,0.802 ms,
2022-11-14 17:52:30,76.197 Gb/s,0.809 ms,16
2022-11-14 17:52:31,70.887 Gb/s,0.804 ms,
2022-11-14 17:52:32,73.179 Gb/s,0.825 ms,
2022-11-14 17:52:33,73.501 Gb/s,0.788 ms,
2022-11-14 17:52:34,72.098 Gb/s,0.805 ms,
2022-11-14 17:52:35,75.703 Gb/s,0.794 ms,
2022-11-14 17:52:36,73.700 Gb/s,0.821 ms,
2022-11-14 17:52:37,69.818 Gb/s,0.726 ms,
2022-11-14 17:52:38,72.534 Gb/s,0.717 ms,
2022-11-14 17:52:39,68.004 Gb/s,0.734 ms,
2022-11-14 17:52:40,72.716 Gb/s,0.698 ms,16
2022-11-14 17:52:41,88.369 Gb/s,0.784 ms,
2022-11-14 17:52:42,74.224 Gb/s,0.676 ms,
2022-11-14 17:52:43,71.663 Gb/s,0.697 ms,
2022-11-14 17:52:44,74.052 Gb/s,0.700 ms,
2022-11-14 17:52:45,70.474 Gb/s,0.750 ms,
2022-11-14 17:52:46,76.907 Gb/s,0.764 ms,
2022-11-14 17:52:47,73.592 Gb/s,0.741 ms,
2022-11-14 17:52:48,71.622 Gb/s,0.746 ms,
2022-11-14 17:52:49,71.633 Gb/s,0.707 ms,
2022-11-14 17:52:50,68.045 Gb/s,0.708 ms,16
2022-11-14 17:52:51,76.339 Gb/s,0.732 ms,
2022-11-14 17:52:52,68.015 Gb/s,0.618 ms,
2022-11-14 17:52:53,75.523 Gb/s,0.648 ms,
2022-11-14 17:52:54,72.726 Gb/s,0.644 ms,
2022-11-14 17:52:55,79.024 Gb/s,0.595 ms,
2022-11-14 17:52:56,75.490 Gb/s,0.783 ms,
2022-11-14 17:52:57,65.617 Gb/s,0.780 ms,
2022-11-14 17:52:58,79.093 Gb/s,0.799 ms,
2022-11-14 17:52:59,70.593 Gb/s,0.788 ms,
2022-11-14 17:53:00,79.066 Gb/s,0.786 ms,16
2022-11-14 17:53:01,67.197 Gb/s,0.830 ms,
2022-11-14 17:53:02,68.384 Gb/s,0.822 ms,
2022-11-14 17:53:03,69.562 Gb/s,0.904 ms,
2022-11-14 17:53:04,71.745 Gb/s,0.850 ms,
2022-11-14 17:53:05,69.280 Gb/s,0.859 ms,
2022-11-14 17:53:06,69.628 Gb/s,0.825 ms,
2022-11-14 17:53:07,72.112 Gb/s,0.868 ms,
2022-11-14 17:53:08,73.166 Gb/s,0.849 ms,
2022-11-14 17:53:09,74.281 Gb/s,0.823 ms,
2022-11-14 17:53:10,68.571 Gb/s,0.856 ms,16
2022-11-14 17:53:11,71.573 Gb/s,0.863 ms,
2022-11-14 17:53:12,73.856 Gb/s,0.894 ms,
2022-11-14 17:53:13,73.370 Gb/s,0.826 ms,
2022-11-14 17:53:14,72.082 Gb/s,0.877 ms,
2022-11-14 17:53:15,66.432 Gb/s,0.856 ms,
2022-11-14 17:53:16,73.518 Gb/s,0.849 ms,
2022-11-14 17:53:17,70.956 Gb/s,0.861 ms,
2022-11-14 17:53:18,72.565 Gb/s,0.876 ms,
2022-11-14 17:53:19,74.075 Gb/s,0.831 ms,
2022-11-14 17:53:20,78.214 Gb/s,0.808 ms,16
2022-11-14 17:53:21,75.569 Gb/s,0.847 ms,
2022-11-14 17:53:22,74.582 Gb/s,0.867 ms,
2022-11-14 17:53:23,70.915 Gb/s,0.824 ms,
2022-11-14 17:53:24,70.506 Gb/s,0.777 ms,
2022-11-14 17:53:25,71.510 Gb/s,0.701 ms,
2022-11-14 17:53:26,69.873 Gb/s,0.758 ms,
2022-11-14 17:53:27,77.000 Gb/s,0.771 ms,
2022-11-14 17:53:28,65.238 Gb/s,0.791 ms,
2022-11-14 17:53:29,69.484 Gb/s,0.759 ms,
2022-11-14 17:53:30,68.594 Gb/s,0.780 ms,16
2022-11-14 17:53:31,70.942 Gb/s,0.771 ms,
2022-11-14 17:53:32,73.170 Gb/s,0.799 ms,
2022-11-14 17:53:33,72.946 Gb/s,0.785 ms,
2022-11-14 17:53:34,74.757 Gb/s,0.722 ms,
2022-11-14 17:53:35,71.808 Gb/s,0.763 ms,
2022-11-14 17:53:36,69.907 Gb/s,0.716 ms,
2022-11-14 17:53:37,73.274 Gb/s,0.797 ms,
2022-11-14 17:53:38,71.228 Gb/s,0.728 ms,
2022-11-14 17:53:39,76.869 Gb/s,0.769 ms,
