name,time,mean_Bytes,mean_Data,mean_GoodPut,mean_Interest,mean_Throughput,mean_Time
sandie-sc19,2019-11-19T11:15:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:15:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:15:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:16:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:16:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:16:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:16:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:16:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:16:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:17:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:17:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:17:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:17:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:17:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:17:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:18:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:18:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:18:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:18:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:18:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:18:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:19:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:19:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:19:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:19:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:19:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:19:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:20:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:20:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:20:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:20:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:20:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:20:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:21:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:21:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:21:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:21:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:21:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:21:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:22:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:22:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:22:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:22:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:22:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:22:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:23:00Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:23:10Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:23:20Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:23:30Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:23:40Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:23:50Z,0,0,0,0,0,0
sandie-sc19,2019-11-19T11:24:00Z,0,0,0,0,0,0
