name,time,mean_Bytes,mean_Data,mean_GoodPut,mean_Interest,mean_Lost,mean_Throughput,mean_Time
sc19_vip,2019-11-20T21:37:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:37:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:38:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:39:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:35Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:45Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:40:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:00Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:10Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:25Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:35Z,2682802463,366906,6647.672866268872,371062,0,6705.268901314664,3.052548487
sc19_vip,2019-11-20T21:41:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:45Z,2683447263,366944,6635.734158225136,371062,0,6694.835443411775,3.058040492
sc19_vip,2019-11-20T21:41:50Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:41:55Z,2683836149,366947,6649.863938213895,371062,0,6710.063354073899,3.051542699
sc19_vip,2019-11-20T21:42:00Z,2647642726,361949,6653.94968744196,371062,0,6623.640556484625,3.049668949
sc19_vip,2019-11-20T21:42:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:42:10Z,2683814207,366944,6646.1425490315905,371062,0,6706.253447997111,3.053251356
sc19_vip,2019-11-20T21:42:15Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:42:20Z,2643543323,361438,6438.639342820979,371062,0,6399.387287102257,3.151650942
sc19_vip,2019-11-20T21:42:25Z,2652539543,362668,6363.474935800675,371062,0,6346.204575906646,3.1888777680000002
sc19_vip,2019-11-20T21:42:30Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:42:35Z,2683689869,366927,6646.95253097026,371062,0,6706.760024990242,3.052879294
sc19_vip,2019-11-20T21:42:40Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:42:45Z,2678043461,366155,6606.002924481213,371062,0,6651.418062523111,3.071803628
sc19_vip,2019-11-20T21:42:50Z,2681802857,366669,6626.015519063828,371062,0,6680.933684597252,3.062525841
sc19_vip,2019-11-20T21:42:55Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:43:00Z,2628059585,359321,5802.787481714845,371062,0,5733.630955277974,3.496999298
sc19_vip,2019-11-20T21:43:05Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:43:10Z,2599922627,355474,6145.40903264544,371062,0,6007.158363870845,3.302033053
sc19_vip,2019-11-20T21:43:15Z,2683770323,366938,6661.086510268073,371062,0,6721.222666684441,3.046401472
sc19_vip,2019-11-20T21:43:20Z,0,0,0,0,0,0,0
sc19_vip,2019-11-20T21:43:25Z,2680383116,366525,6651.058437645458,371062,0,6702.633925185491,3.050994656
sc19_vip,2019-11-20T21:43:30Z,0,0,0,0,0,0,0
